"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste6"
"10/22/2023 16:41:49:835 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","10","10","10"
"percV","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"show-energy?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"percA","4",,,"4",,,"4",,,"4",,,"4",,,"4",,,"4",,,"4",,
"energiaAlimento","50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,
"penergH","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"reproducao_leoes","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"reproducao_hienas","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"nleao","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"percC","10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,
"reproducao?","true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,,"true",,
"tempo_descanso","50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,
"nhienas","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"qenergia","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"penergL","0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,,"0.5",,
"[reporter]","count turtles","count hienas","count leoes","count turtles","count hienas","count leoes","count turtles","count hienas","count leoes","count turtles","count hienas","count leoes","count turtles","count hienas","count leoes","count turtles","count hienas","count leoes","count turtles","count hienas","count leoes","count turtles","count hienas","count leoes"
"[final]","2347","0","2347","5729","0","5729","1891","1891","0","2249","0","2249","11449","0","11449","2400","0","2400","5458","0","5458","923","0","923"
"[min]","200","0","100","200","0","100","200","100","0","200","0","100","197","0","100","200","0","100","200","0","100","200","0","100"
