"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:46:39:895 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","7","7","7"
"percV","5",,
"show-energy?","true",,
"percA","4",,
"energiaAlimento","50",,
"penergH","0.5",,
"reproducao_leoes","10",,
"reproducao_hienas","10",,
"nleao","100",,
"percC","10",,
"reproducao?","true",,
"tempo_descanso","50",,
"nhienas","100",,
"qenergia","100",,
"penergL","0.5",,
"[reporter]","count turtles","count hienas","count leoes"
"[final]","3930","3930","0"
"[min]","200","100","0"
"[max]","4011","4011","206"
"[mean]","3775.2517482517483","3767.826173826174","7.425574425574426"
"[steps]","1000","1000","1000"

"[all run data]","count turtles","count hienas","count leoes"
,"200","100","100"
,"218","109","109"
,"228","116","112"
,"241","125","116"
,"250","131","119"
,"277","145","132"
,"297","157","140"
,"313","169","144"
,"337","181","156"
,"356","185","171"
,"358","186","172"
,"360","188","172"
,"374","199","175"
,"390","211","179"
,"396","218","178"
,"406","222","184"
,"430","240","190"
,"462","267","195"
,"477","277","200"
,"509","306","203"
,"525","319","206"
,"527","333","194"
,"552","350","202"
,"579","379","200"
,"609","406","203"
,"640","437","203"
,"649","450","199"
,"659","473","186"
,"691","499","192"
,"705","521","184"
,"739","563","176"
,"786","623","163"
,"839","674","165"
,"893","734","159"
,"954","795","159"
,"1017","863","154"
,"1081","933","148"
,"1159","1014","145"
,"1238","1096","142"
,"1307","1173","134"
,"1407","1280","127"
,"1507","1389","118"
,"1608","1504","104"
,"1729","1639","90"
,"1877","1800","77"
,"2020","1955","65"
,"2173","2118","55"
,"2363","2317","46"
,"2551","2515","36"
,"2773","2751","22"
,"3017","3003","14"
,"3274","3266","8"
,"3626","3618","8"
,"3931","3929","2"
,"4011","4011","0"
,"3995","3995","0"
,"3980","3980","0"
,"3972","3972","0"
,"3966","3966","0"
,"3963","3963","0"
,"3958","3958","0"
,"3955","3955","0"
,"3950","3950","0"
,"3946","3946","0"
,"3942","3942","0"
,"3939","3939","0"
,"3934","3934","0"
,"3934","3934","0"
,"3934","3934","0"
,"3933","3933","0"
,"3931","3931","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
,"3930","3930","0"
