"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:44:07:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percV","show-energy?","percA","energiaAlimento","penergH","reproducao_leoes","reproducao_hienas","nleao","percC","reproducao?","tempo_descanso","nhienas","qenergia","penergL","[step]","count turtles","count hienas","count leoes"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","228","112","116"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","236","120","116"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","266","137","129"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","208","97","111"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","214","106","108"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","218","107","111"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","215","102","113"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","216","107","109"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","218","109","109"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","279","148","131"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","212","103","109"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","219","107","112"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","234","113","121"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","223","103","120"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","229","112","117"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","225","112","113"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","227","111","116"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","228","116","112"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","224","111","113"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","239","121","118"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","244","114","130"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","229","111","118"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","249","119","130"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","231","106","125"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","247","125","122"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","292","154","138"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","239","112","127"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","241","125","116"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","249","128","121"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","257","112","145"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","244","118","126"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","257","124","133"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","301","151","150"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","248","114","134"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","258","129","129"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","250","131","119"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","249","112","137"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","267","136","131"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","280","136","144"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","260","128","132"
"1","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","0","200","100","100"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","307","146","161"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","270","134","136"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","281","143","138"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","263","113","150"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","272","138","134"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","277","145","132"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","263","115","148"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","263","118","145"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","310","155","155"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","306","157","149"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","288","145","143"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","288","125","163"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","290","123","167"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","289","127","162"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","336","168","168"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","297","157","140"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","326","158","168"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","287","143","144"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","317","158","159"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","299","137","162"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","315","161","154"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","354","174","180"
