"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA.nlogo"
"teste3"
"10/20/2023 11:08:58:449 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percC","percV","percA","tempo_descanso","penergH","energiaAlimento","nhienas","qenergia","penergL","nleao","[step]","count turtles","count leoes","count hienas"
"7","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"3","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"5","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"8","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"6","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"4","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"10","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"9","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"3","20","7","1","20","0.5","25","50","50","0.5","50","1","96","50","46"
"5","20","7","1","20","0.5","25","50","50","0.5","50","1","98","50","48"
"4","20","7","1","20","0.5","25","50","50","0.5","50","1","99","50","49"
"8","20","7","1","20","0.5","25","50","50","0.5","50","1","98","50","48"
"3","20","7","1","20","0.5","25","50","50","0.5","50","2","96","50","46"
"6","20","7","1","20","0.5","25","50","50","0.5","50","1","97","50","47"
"2","20","7","1","20","0.5","25","50","50","0.5","50","0","100","50","50"
"9","20","7","1","20","0.5","25","50","50","0.5","50","1","99","50","49"
"5","20","7","1","20","0.5","25","50","50","0.5","50","2","97","50","47"
"8","20","7","1","20","0.5","25","50","50","0.5","50","2","96","50","46"
"3","20","7","1","20","0.5","25","50","50","0.5","50","3","96","50","46"
"10","20","7","1","20","0.5","25","50","50","0.5","50","1","100","50","50"
"6","20","7","1","20","0.5","25","50","50","0.5","50","2","97","50","47"
"4","20","7","1","20","0.5","25","50","50","0.5","50","2","97","49","48"
"9","20","7","1","20","0.5","25","50","50","0.5","50","2","98","50","48"
"8","20","7","1","20","0.5","25","50","50","0.5","50","3","93","50","43"
"3","20","7","1","20","0.5","25","50","50","0.5","50","4","95","50","45"
"7","20","7","1","20","0.5","25","50","50","0.5","50","1","99","50","49"
"5","20","7","1","20","0.5","25","50","50","0.5","50","3","95","49","46"
"10","20","7","1","20","0.5","25","50","50","0.5","50","2","98","50","48"
"3","20","7","1","20","0.5","25","50","50","0.5","50","5","93","50","43"
"9","20","7","1","20","0.5","25","50","50","0.5","50","3","98","50","48"
"8","20","7","1","20","0.5","25","50","50","0.5","50","4","92","50","42"
"4","20","7","1","20","0.5","25","50","50","0.5","50","3","94","48","46"
"9","20","7","1","20","0.5","25","50","50","0.5","50","4","98","50","48"
"3","20","7","1","20","0.5","25","50","50","0.5","50","6","93","50","43"
"5","20","7","1","20","0.5","25","50","50","0.5","50","4","93","48","45"
"7","20","7","1","20","0.5","25","50","50","0.5","50","2","96","47","49"
"10","20","7","1","20","0.5","25","50","50","0.5","50","3","96","50","46"
